,_id,author,location
141,1412195290640093202,46874820,"Sydney, New South Wales"
142,1412195338979446784,1296639675335991296,"Sydney, New South Wales"
143,1412195360743690248,2933053208,"Sydney, New South Wales"
144,1412195547268583424,903333134,"Sydney, New South Wales"
145,1412195547566403587,84437733,"Sydney, New South Wales"
146,1412195628717772805,8376792,"Sydney, New South Wales"
147,1412195713719676940,342739410,"Sydney, New South Wales"
148,1412195751115952128,1647275468,"Sydney, New South Wales"
149,1412195937020121088,1647275468,"Sydney, New South Wales"
150,1412196048227864598,1359645929112965120,"Sydney, New South Wales"
151,1412196116397924354,4786095088,"Sydney, New South Wales"
152,1412196191316582401,156677140,"Sydney, New South Wales"
153,1412196288830095363,4648031797,"Sydney, New South Wales"
154,1412196412272484357,1359645929112965120,"Sydney, New South Wales"
155,1412196444983857152,1188612101209640960,"Sydney, New South Wales"
156,1412196466051846155,156677140,"Sydney, New South Wales"
157,1412196485274341382,2424474356,"Sydney, New South Wales"
158,1412196655705718786,903822128155262976,"Sydney, New South Wales"
159,1412196668523487232,22952866,"Sydney, New South Wales"
160,1412196700811235331,4648031797,"Sydney, New South Wales"
161,1412196746566897675,10482452,"Sydney, New South Wales"
162,1412196878964465664,4648031797,"Sydney, New South Wales"
163,1412196885347979266,10482452,"Sydney, New South Wales"
164,1412196954872836097,156677140,"Sydney, New South Wales"
165,1412196984736337920,2421213462,"Sydney, New South Wales"
166,1412197012443856898,110092618,"Sydney, New South Wales"
167,1412197110557065216,4648031797,"Sydney, New South Wales"
168,1412197150943940609,778028382965542912,"Sydney, New South Wales"
169,1412197151136911361,758965228050616320,"Sydney, New South Wales"
170,1412197215364292609,156677140,"Sydney, New South Wales"
171,1412197252873916430,35624175,"Sydney, New South Wales"
172,1412197309064966145,1089023364973219840,"Sydney, New South Wales"
173,1412197522525720583,1133823206,"Sydney, New South Wales"
174,1412197548417159182,1316973031508504581,"Sydney, New South Wales"
175,1412197637550313487,262061789,"Sydney, New South Wales"
176,1412197718496186375,156677140,"Sydney, New South Wales"
177,1412197764990001155,1355662442,"Sydney, New South Wales"
178,1412197769159221249,1188612101209640960,"Sydney, New South Wales"
179,1412197774330843137,49464848,"Sydney, New South Wales"
180,1412197812243034114,1099659121,"Sydney, New South Wales"
181,1412197821843836939,24487001,"Sydney, New South Wales"
182,1412197871290486791,868011492024631296,"Sydney, New South Wales"
183,1412197978182348801,563679140,"Sydney, New South Wales"
184,1412197993277661185,7050962,"Sydney, New South Wales"
185,1412198012147798034,23052065,"Sydney, New South Wales"
186,1412198109216579587,938564689063063552,"Sydney, New South Wales"
187,1412198170323390471,970175523564404737,"Sydney, New South Wales"
188,1412198383666696193,1089151295397621760,"Sydney, New South Wales"
189,1412198387793858572,1302620497604014082,"Sydney, New South Wales"
190,1412198398296395789,758965228050616320,"Sydney, New South Wales"
191,1412198692170334210,820431428835885059,"Sydney, New South Wales"
192,1412198746922749953,843166470,"Sydney, New South Wales"
193,1412198844364845057,142545183,"Sydney, New South Wales"
194,1412198856113205251,294789770,"Sydney, New South Wales"
195,1412198972727300103,1089023364973219840,"Sydney, New South Wales"
196,1412198997620449282,20522796,"Sydney, New South Wales"
